IDADE;SEXO;RENDA;REST_MOB;VINC;CURSO;SEM;PROAE;CURSO_MD;ORG_UND;FREQ_20172;ORIGEM1;DESTINO1;FREQ1;MOTIVO1;DESLOC2;ORIGEM2;DESTINO2;FREQ2;MOTIVO2;DESLOC3;ORIGEM3;DESTINO3;FREQ3;MOTIVO3;S_PONT;S_FREQ;S_ACES;S_CONF;S_ESPR;S_INFO;S_TRAT;S_TRAN;S_VIOL;S_SATS;I_PONT;I_FREQ;I_ACES;I_CONF;I_ESPR;I_INFO;I_TRAT;I_TRAN;I_VIOL
20;M;0-1 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Artes;5º;N;;;1-4 Semestre;Restaurante Universitário (Campus Ondina);Reitoria;1-4 Semestre;Aula no local de destino;Não;;;;;;;;;;DC;DC;CP;DC;CP;DP;CC;CC;CC;DP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP
25;F;1-3 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Pedagogia;8º;N;;;1-4 Semana;Faculdade de Educação;Instituto de Geociências;1-4 Semana;Tomar outro ônibus em local que o BUZUFBA passa;Não;;;;;;;;;;CP;CP;CP;CC;DP;CP;CP;CP;DC;CP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP
57;F;1-3 SM;Não tenho nenhuma restrição de mobilidade.;Outro;;;;;Faculdade de Farmácia;Nenhuma;;;;;;;;;;;;;;;;;;;;;;;;;MT IMP;MT IMP;MT IMP;IMP;IMP;MT IMP;IMP;MT IMP;MT IMP
46;M;1-3 SM;Não tenho nenhuma restrição de mobilidade.;Mest;;;;Engenharia Industrial;;1-4 Semana;Escola Politécnica;Reitoria;1-4 Semana;Atividade de Pesquisa/Extensão no local de destino;Sim;Escola Politécnica;Faculdade de Filosofia Ciências Humanas;1-4 Semestre;Refeição em Restaurante Universitário;Não;;;;;CC;DP;DP;DC;DP;DC;DP;DP;CP;DP;MT IMP;IMP;MT IMP;MT IMP;MT IMP;IMP;MT IMP;MT IMP;MT IMP
31;M;1-3 SM;Não tenho nenhuma restrição de mobilidade.;Dout;;;;Ensino, Filosofia e História das Ciências;;1-4 Semana;Instituto de Matemática;Escola Politécnica;1-4 Mês;Aula no local de destino;Não;;;;;;;;;;DC;DC;CP;DC;DC;DC;CP;DP;DC;DC;MT IMP;MT IMP;PC IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP
20;F;1-3 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Artes;5º;N;;;10-M Semana;Reitoria;Inst. de Humanidades Artes e Ciências;1-4 Semana;Aula no local de destino;Sim;Inst. de Humanidades Artes e Ciências;Instituto Feminino;1-4 Semana;Outro;Sim;Inst. de Humanidades Artes e Ciências;Escola de Música;1-4 Semana;Aula no local de destino;DC;DC;DP;DP;DP;DC;DP;CP;DP;DC;MT IMP;MT IMP;MT IMP;IMP;IMP;MT IMP;MT IMP;MT IMP;MT IMP
22;F;3-6 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Artes - Noturno;6º;N;;;1-4 Semana;Reitoria;Inst. de Humanidades Artes e Ciências;1-4 Semana;Tomar outro ônibus em local que o BUZUFBA passa;Não;;;;;;;;;;DC;CP;CC;CP;DC;DC;CC;CC;DC;CP;MT IMP;MT IMP;MT IMP;IMP;MT IMP;MT IMP;IMP;MT IMP;MT IMP
20;F;6-9 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Artes;3º;N;;;1-4 Semana;Faculdade de Arquitetura;Pavilhão de Aulas da Federação I;1-4 Semana;Aula no local de destino;Sim;Pavilhão de Aulas da Federação I;Faculdade de Arquitetura;1-4 Semestre;Aula no local de destino;Não;;;;;DP;DC;DP;DC;DP;CP;CC;CP;CP;DC;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP
23;F;1-3 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Artes - Noturno;3º;N;;;1-4 Semestre;Pavilhão de Aulas do Canela;Pavilhão  de  Aulas IV;1-4 Semana;Aula no local de destino;Não;;;;;;;;;;DP;DP;DP;CP;DP;DC;CC;CC;DP;DC;MT IMP;IMP;IMP;PC IMP;IMP;MT IMP;MT IMP;MT IMP;MT IMP
60;F;6-9 SM;Pessoa com restrição de mobilidade temporária;Grad;Artes - Noturno;2º;N;;;Nenhuma;;;;;;;;;;;;;;;;;;;;;;;;;MT IMP;MT IMP;MT IMP;IMP;IMP;IMP;IMP;MT IMP;MT IMP
28;F;1-3 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Artes - Noturno;1º;N;;;1-4 Semana;Reitoria;Inst. de Humanidades Artes e Ciências;1-4 Mês;Aula no local de destino;Sim;Faculdade de Filosofia Ciências Humanas;Residência Universitária III;5-9 Semana;Aula no local de destino;Não;;;;;DC;DC;DP;DP;DP;DC;DP;DC;DC;DC;MT IMP;MT IMP;IMP;IMP;IMP;IMP;PC IMP;MT IMP;MT IMP
23;F;6-9 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Fonoaudiologia;9º;N;;;1-4 Semana;Instituto de Ciências da Saúde;Escola Politécnica;1-4 Semana;Outro;Não;;;;;;;;;;DP;DC;DP;CP;DP;DC;CP;DP;DC;CP;IMP;IMP;IMP;PC IMP;IMP;IMP;IMP;MT IMP;MT IMP
34;F;1-3 SM;Não tenho nenhuma restrição de mobilidade.;Outro;;;;;Faculdade de Filosofia Ciências Humanas;1-4 Semana;Escola Politécnica;Faculdade de Filosofia Ciências Humanas;1-4 Mês;Outro;Não;;;;;;;;;;CP;CP;DP;DP;DC;DP;CP;CP;DC;CP;MT IMP;MT IMP;IMP;IMP;IMP;IMP;IMP;MT IMP;MT IMP
22;F;1-3 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Artes - Noturno;7º;N;;;1-4 Semestre;Pavilhão  de  Aulas  da  Federação  III;Restaurante Universitário (Campus São Lázaro);1-4 Semestre;Refeição em Restaurante Universitário;Não;;;;;;;;;;CP;DC;CP;DC;DP;CP;CC;CP;DP;DP;IMP;MT IMP;IMP;IMP;IMP;PC IMP;IMP;MT IMP;MT IMP
30;M;9-12 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Direito;12º;N;;;1-4 Semestre;Faculdade de Direito;Reitoria;1-4 Semestre;Aula no local de destino;Não;;;;;;;;;;CC;DC;CC;DC;DC;DP;DP;DP;DP;CP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP
43;F;12-M SM;Não tenho nenhuma restrição de mobilidade.;Prof;;;;;Escola Politécnica;Nenhuma;;;;;;;;;;;;;;;;;;;;;;;;;MT IMP;MT IMP;MT IMP;IMP;IMP;IMP;IMP;MT IMP;MT IMP
17;F;9-12 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Museologia;1º;N;;;1-4 Semana;Faculdade de Filosofia Ciências Humanas;Escola de Belas Artes;1-4 Semana;Aula no local de destino;Sim;Faculdade de Filosofia Ciências Humanas;Outros Locais (Não UFBA);1-4 Semana;Tomar outro ônibus em local que o BUZUFBA passa;Não;;;;;CP;DP;CC;DP;DP;CC;CC;CC;CC;DP;IMP;IMP;IMP;IMP;IMP;IMP;IMP;MT IMP;MT IMP
23;F;1-3 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Artes;8º;N;;;1-4 Semana;Faculdade de Comunicação;Faculdade de Odontologia;1-4 Semana;Aula no local de destino;Sim;Faculdade de Comunicação;Instituto de Ciências da Saúde;1-4 Semana;Aula no local de destino;Sim;Instituto de Letras;Restaurante Universitário (Campus São Lázaro);1-4 Semana;Refeição em Restaurante Universitário;DP;DC;CP;DP;DP;CP;CC;CC;CP;DC;MT IMP;MT IMP;IMP;MT IMP;PC IMP;MT IMP;MT IMP;MT IMP;MT IMP
19;F;6-9 SM;PcD Visual;Grad;Humanidades;3º;N;;;1-4 Semana;Faculdade de Direito;Pavilhão  de  Aulas  da  Federação  III;1-4 Semana;Aula no local de destino;Sim;Pavilhão  de  Aulas  da  Federação  III;Faculdade de Direito;1-4 Semana;Aula no local de destino;Não;;;;;DC;DC;CP;DP;DP;CP;CC;DP;CP;DC;MT IMP;MT IMP;IMP;IMP;MT IMP;MT IMP;IMP;MT IMP;MT IMP
21;F;3-6 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Artes;5º;N;;;5-9 Semana;Escola de Belas Artes;Inst. de Humanidades Artes e Ciências;5-9 Semana;Aula no local de destino;Sim;Inst. de Humanidades Artes e Ciências;Reitoria;5-9 Semana;Tomar outro ônibus em local que o BUZUFBA passa;Não;;;;;DP;DP;CP;DC;CP;DC;CP;CP;CP;CP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;IMP;MT IMP;MT IMP
21;M;0-1 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Artes;7º;S;;;10-M Semana;Residência Universitária I;Inst. de Humanidades Artes e Ciências;10-M Semana;Aula no local de destino;Sim;Inst. de Humanidades Artes e Ciências;Residência Universitária I;10-M Semana;Retorno à Residência Universitária;Não;;;;;DC;DC;CP;DC;DC;DP;DP;DP;DC;DC;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP
21;F;0-1 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Humanidades - Noturno;5º;S;;;10-M Semana;Inst. de Humanidades Artes e Ciências;Faculdade de Direito;10-M Semana;Aula no local de destino;Sim;Escola Politécnica;Inst. de Humanidades Artes e Ciências;5-9 Semana;Refeição em Restaurante Universitário;Não;;;;;DC;DC;CP;DC;DC;DC;CC;CC;CP;CP;MT IMP;MT IMP;PC IMP;IMP;PC IMP;IMP;IMP;MT IMP;MT IMP
17;F;6-9 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Ciência e Tecnologia - Noturno;1º;N;;;10-M Semana;Reitoria;Pavilhão  de  Aulas  da  Federação  V;10-M Semana;Aula no local de destino;Não;;;;;;;;;;CP;DP;CP;DP;CP;CC;CP;CC;CP;CP;MT IMP;MT IMP;IMP;IMP;PC IMP;MT IMP;IMP;IMP;MT IMP
27;F;6-9 SM;Não tenho nenhuma restrição de mobilidade.;STA;;;;;Instituto de Psicologia;1-4 Mês;Escola Politécnica;Instituto de Psicologia;1-4 Mês;Outro;Sim;Instituto de Matemática;Instituto de Psicologia;1-4 Semestre;Outro;Não;;;;;DP;DC;CP;DP;DC;DC;DP;CP;DP;CP;MT IMP;MT IMP;IMP;IMP;PC IMP;MT IMP;IMP;MT IMP;IMP
32;M;6-9 SM;Obeso;Grad;Artes Cênicas - Direção Teatral;1º;N;;;1-4 Mês;Pavilhão  de  Aulas  da  Federação  V;Reitoria;1-4 Mês;Aula no local de destino;Não;;;;;;;;;;DP;DP;DP;DC;DP;DP;DP;DP;DP;DP;PC IMP;PC IMP;PC IMP;PC IMP;PC IMP;PC IMP;PC IMP;PC IMP;PC IMP
19;F;0-1 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Artes - Noturno;1º;N;;;Nenhuma;;;;;;;;;;;;;;;;;;;;;;;;;MT IMP;MT IMP;MT IMP;IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP
31;M;6-9 SM;Não tenho nenhuma restrição de mobilidade.;STA;;;;;Instituto de Biologia;1-4 Mês;Instituto de Biologia;Escola Politécnica;1-4 Mês;Outro;Não;;;;;;;;;;DC;DP;CP;CP;CP;DC;CP;CP;DP;DP;MT IMP;IMP;IMP;PC IMP;PC IMP;MT IMP;PC IMP;MT IMP;MT IMP
18;F;1-3 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Museologia;1º;N;;;10-M Semana;Restaurante Universitário (Campus Ondina);Restaurante Universitário (Campus São Lázaro);10-M Semana;Aula no local de destino;Não;;;;;;;;;;CP;DC;DP;DC;DC;DP;CP;CP;DC;DC;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP
21;F;1-3 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Arquitetura e Urbanismo;7º;N;;;10-M Semana;Outros Locais (Não UFBA);Faculdade de Arquitetura;10-M Semana;Aula no local de destino;Não;;;;;;;;;;DC;DP;CP;CP;DP;CP;CP;CP;CP;DP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP
20;F;3-6 SM;Não tenho nenhuma restrição de mobilidade.;Grad;História (Lic. e Bach.);3º;N;;;5-9 Semana;Escola Politécnica;Faculdade de Filosofia Ciências Humanas;1-4 Semana;Aula no local de destino;Não;;;;;;;;;;DC;DC;CP;DC;DC;CC;CP;DP;DP;DC;MT IMP;MT IMP;IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP
19;M;6-9 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Artes;5º;S;;;5-9 Semana;Restaurante Universitário (Campus Ondina);Pavilhão de Aulas do Canela;5-9 Semana;Aula no local de destino;Sim;Restaurante Universitário (Campus Ondina);Reitoria;1-4 Semana;Aula no local de destino;Não;;;;;DP;DC;DC;DC;DC;DP;DP;DP;DP;DC;MT IMP;MT IMP;IMP;IMP;IMP;PC IMP;PC IMP;MT IMP;MT IMP
27;M;3-6 SM;Não tenho nenhuma restrição de mobilidade.;Mest;;;;Psicologia;;1-4 Semestre;Reitoria;Faculdade de Filosofia Ciências Humanas;1-4 Semestre;Aula no local de destino;Não;;;;;;;;;;DC;DC;DC;DP;CC;CP;DC;CC;CP;DP;MT IMP;MT IMP;MT IMP;ND IMP;PC IMP;MT IMP;MT IMP;IMP;IMP
37;F;1-3 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Licenciatura em Desenho e Plástica;1º;N;;;Nenhuma;;;;;;;;;;;;;;;;;;;;;;;;;MT IMP;MT IMP;IMP;IMP;IMP;MT IMP;IMP;MT IMP;MT IMP
29;F;1-3 SM;Não tenho nenhuma restrição de mobilidade.;Dout;;;;Matemática - UFBA/UFAL;;Nenhuma;;;;;;;;;;;;;;;;;;;;;;;;;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP
19;M;1-3 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Artes - Noturno;1º;S;;;Nenhuma;;;;;;;;;;;;;;;;;;;;;;;;;MT IMP;MT IMP;MT IMP;ND IMP;ND IMP;IMP;ND IMP;MT IMP;MT IMP
21;M;0-1 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Artes;1º;N;;;10-M Semana;Instituto de Biologia;Creche UFBA;10-M Semana;Aula no local de destino;Sim;Escola de Belas Artes;Inst. de Humanidades Artes e Ciências;10-M Semana;Aula no local de destino;Não;;;;;DC;DC;DP;DC;DP;DP;DP;DP;DP;DC;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP
21;F;1-3 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Letras Vernáculas (Lic.);8º;N;;;1-4 Semana;Faculdade de Educação;Pavilhão  de  Aulas  da  Federação  III;1-4 Semana;Aula no local de destino;Sim;Faculdade de Educação;Restaurante Universitário (Campus São Lázaro);1-4 Semana;Refeição em Restaurante Universitário;Não;;;;;DC;DC;CP;DC;DP;DP;CP;DP;DC;DC;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP
26;F;0-1 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Artes - Noturno;10º;N;;;5-9 Semana;Reitoria;Pavilhão  de  Aulas  da  Federação  III;1-4 Semana;Aula no local de destino;Sim;Pavilhão  de  Aulas  da  Federação  III;Escola de Belas Artes;1-4 Semana;Aula no local de destino;Sim;Reitoria;Escola Politécnica;5-9 Semana;Outro;DP;DC;DP;DP;DC;DC;DP;DP;DP;DP;IMP;MT IMP;IMP;IMP;IMP;IMP;IMP;MT IMP;MT IMP
21;M;0-1 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Letras Vernáculas (Lic.);4º;N;;;1-4 Mês;Instituto de Letras;Pró-Reitoria de Administração (PROAD);1-4 Semestre;Evento/Treinamento no local de destino;Não;;;;;;;;;;DC;DC;CP;DC;DC;CP;DC;DC;DC;DC;MT IMP;MT IMP;IMP;IMP;PC IMP;MT IMP;MT IMP;MT IMP;MT IMP
23;F;1-3 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Engenharia Sanitária e Ambiental;9º;N;;;5-9 Semana;Escola Politécnica;Reitoria;5-9 Semana;Tomar outro ônibus em local que o BUZUFBA passa;Não;;;;;;;;;;DP;DC;CP;DP;DC;DC;DC;DP;DC;DP;IMP;MT IMP;MT IMP;PC IMP;PC IMP;MT IMP;IMP;IMP;MT IMP
23;F;1-3 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Saúde - Noturno;6º;N;;;1-4 Semana;Restaurante Universitário (Campus Ondina);Instituto de Ciências da Saúde;1-4 Semana;Aula no local de destino;Não;;;;;;;;;;DC;DC;CP;DC;DC;CC;CP;CP;DC;DC;MT IMP;MT IMP;MT IMP;MT IMP;IMP;IMP;IMP;MT IMP;MT IMP
26;F;1-3 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Artes - Noturno;5º;N;;;1-4 Semana;Faculdade de Arquitetura;Inst. de Humanidades Artes e Ciências;1-4 Mês;Aula no local de destino;Sim;Inst. de Humanidades Artes e Ciências;Escola de Belas Artes;1-4 Mês;Aula no local de destino;Não;;;;;DP;DC;DP;DP;DP;DP;CC;CP;DC;DP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP
26;F;1-3 SM;Obeso;Grad;Sistemas de Informação - Bacharelado;7º;N;;;5-9 Semana;Instituto de Matemática;Reitoria;5-9 Semana;Tomar outro ônibus em local que o BUZUFBA passa;Não;;;;;;;;;;DC;DC;CC;DC;DC;DP;DC;DC;DC;DC;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP
21;F;1-3 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Farmácia;5º;N;;;5-9 Semana;Instituto de Matemática;Instituto de Ciências da Saúde;5-9 Semana;Atividade de Pesquisa/Extensão no local de destino;Sim;Instituto de Matemática;Pavilhão de Aulas de São Lázaro;1-4 Mês;Refeição em Restaurante Universitário;Não;;;;;DC;DC;CP;DP;DC;DC;CP;DP;DP;DC;MT IMP;MT IMP;MT IMP;IMP;IMP;MT IMP;MT IMP;MT IMP;MT IMP
45;F;9-12 SM;Não tenho nenhuma restrição de mobilidade.;Prof;;;;;Escola Politécnica;Nenhuma;;;;;;;;;;;;;;;;;;;;;;;;;MT IMP;MT IMP;IMP;IMP;IMP;MT IMP;IMP;MT IMP;MT IMP
49;F;0-1 SM;Obeso;Grad;Saúde Coletiva;7º;N;;;10-M Semana;Faculdade de Ciências Econômicas;Pavilhão de Aulas da Federação I;10-M Semana;Aula no local de destino;Sim;Pavilhão de Aulas da Federação I;Instituto de Saúde Coletiva;10-M Semana;Refeição em Restaurante Universitário;Sim;Pavilhão de Aulas da Federação I;Faculdade de Ciências Econômicas;10-M Semana;Atividade de Pesquisa/Extensão no local de destino;DP;DC;DC;DC;DC;DP;CC;CC;DC;DP;MT IMP;MT IMP;IMP;IMP;IMP;IMP;MT IMP;MT IMP;MT IMP
39;F;3-6 SM;Não tenho nenhuma restrição de mobilidade.;STA;;;;;Superintendência de Tecnologia da Informação - STI;1-4 Mês;Instituto de Matemática;Reitoria;1-4 Mês;Tomar outro ônibus em local que o BUZUFBA passa;Não;;;;;;;;;;DP;DP;CP;DC;DP;DP;CP;DP;DP;CP;MT IMP;MT IMP;MT IMP;IMP;PC IMP;IMP;IMP;MT IMP;MT IMP
31;M;1-3 SM;Não tenho nenhuma restrição de mobilidade.;STA;;;;;Escola Politécnica;1-4 Semana;Escola Politécnica;Instituto de Matemática;1-4 Mês;Atividade de Pesquisa/Extensão no local de destino;Não;;;;;;;;;;DC;DC;DP;DC;DC;DC;DP;DP;DC;DC;MT IMP;MT IMP;IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP
39;F;6-9 SM;Não tenho nenhuma restrição de mobilidade.;Prof;;;;;Instituto de Física;1-4 Semestre;Instituto de Física;Outros Locais (Não UFBA);1-4 Semestre;Outro;Sim;Outros Locais (Não UFBA);Instituto de Física;1-4 Semestre;Aula no local de destino;Não;;;;;CP;DP;DP;DP;DP;DC;CP;CP;DP;DP;MT IMP;MT IMP;IMP;IMP;IMP;MT IMP;PC IMP;MT IMP;MT IMP
26;M;0-1 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Dança;3º;S;;;10-M Semana;Residência Universitária I;Escola de Dança;5-9 Semana;Aula no local de destino;Não;;;;;;;;;;DC;DC;DC;DC;DC;DC;DC;DC;DC;DC;MT IMP;MT IMP;IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP
31;F;1-3 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Direito;10º;S;;;10-M Semana;Residência Universitária V;Faculdade de Direito;10-M Semana;Aula no local de destino;Sim;Faculdade de Direito;Residência Universitária V;10-M Semana;Retorno à Residência Universitária;Sim;Residência Universitária V;Reitoria;10-M Semana;Atividade de Pesquisa/Extensão no local de destino;DC;DC;DC;DC;DC;DP;DC;DC;DC;DC;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP
19;F;3-6 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Direito;2º;N;;;5-9 Semana;Instituto de Matemática;Faculdade de Direito;5-9 Semana;Aula no local de destino;Não;;;;;;;;;;DP;DP;DP;DP;DP;DP;DP;DP;DP;DC;MT IMP;MT IMP;MT IMP;MT IMP;IMP;MT IMP;MT IMP;MT IMP;MT IMP
30;F;0-1 SM;Não tenho nenhuma restrição de mobilidade.;Mest;;;;Administração;;5-9 Semana;Creche UFBA;Escola de Administração;1-4 Semana;Aula no local de destino;Não;;;;;;;;;;DP;DC;DC;DC;DC;DC;DC;CP;DP;DC;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP
20;M;0-1 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Humanidades - Noturno;3º;S;;;1-4 Semana;Residência Universitária V;Reitoria;1-4 Semana;Outro;Não;;;;;;;;;;DP;DP;DC;DP;DP;DC;DP;DC;DP;DP;MT IMP;MT IMP;IMP;IMP;IMP;MT IMP;MT IMP;MT IMP;MT IMP
23;M;6-9 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Ciência e Tecnologia - Noturno;3º;N;;;5-9 Semana;Pavilhão  de  Aulas  da  Federação  III;Escola de Administração;5-9 Semana;Aula no local de destino;Sim;Pavilhão de Aulas da Federação I;Escola Politécnica;5-9 Semana;Aula no local de destino;Não;;;;;DP;DP;DC;DP;DC;DP;DP;DC;DP;DP;PC IMP;PC IMP;ND IMP;ND IMP;ND IMP;PC IMP;PC IMP;PC IMP;PC IMP
23;F;1-3 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Fonoaudiologia;4º;N;;;10-M Semana;Residência Universitária V;Creche UFBA;10-M Semana;Aula no local de destino;Sim;Residência Universitária V;Reitoria;10-M Semana;Aula no local de destino;Sim;Residência Universitária V;Pavilhão de Aulas do Canela;10-M Semana;Aula no local de destino;DP;DC;DC;DC;DC;CC;CP;CC;DP;DC;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP
18;F;12-M SM;Não tenho nenhuma restrição de mobilidade.;Grad;História (Lic. e Bach.);1º;N;;;Nenhuma;;;;;;;;;;;;;;;;;;;;;;;;;MT IMP;MT IMP;IMP;PC IMP;PC IMP;MT IMP;IMP;IMP;PC IMP
21;F;0-1 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Artes - Noturno;3º;N;;;1-4 Semestre;Escola de Dança;Escola Politécnica;1-4 Semestre;Tomar outro ônibus em local que o BUZUFBA passa;Não;;;;;;;;;;CP;DP;CP;CP;CP;DP;CC;CC;DP;CP;MT IMP;MT IMP;MT IMP;MT IMP;IMP;MT IMP;MT IMP;MT IMP;IMP
23;F;0-1 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Farmácia;6º;S;;;10-M Semana;Creche UFBA;Faculdade de Medicina da Bahia;10-M Semana;Aula no local de destino;Sim;Outros Locais (Não UFBA);Residência Universitária V;5-9 Semana;Retorno à Residência Universitária;Não;;;;;DP;DC;DP;DC;DC;DC;DP;DP;DP;DP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP
29;M;3-6 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Artes - Noturno;1º;N;;;Nenhuma;;;;;;;;;;;;;;;;;;;;;;;;;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP
22;F;6-9 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Letras Vernáculas (Lic.);4º;N;;;1-4 Mês;Pavilhão de Aulas da Federação I;Faculdade de Educação;1-4 Mês;Aula no local de destino;Não;;;;;;;;;;DC;DC;DP;DC;CP;DC;CP;DP;DP;DC;IMP;MT IMP;IMP;IMP;IMP;MT IMP;IMP;MT IMP;MT IMP
21;M;1-3 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Artes - Noturno;3º;N;;;1-4 Semestre;Inst. de Humanidades Artes e Ciências;Residência Universitária I;1-4 Semestre;Outro;Não;;;;;;;;;;DC;DC;DP;DC;DC;DC;DP;DC;DC;DC;MT IMP;MT IMP;MT IMP;IMP;IMP;MT IMP;IMP;MT IMP;MT IMP
40;F;6-9 SM;Não tenho nenhuma restrição de mobilidade.;STA;;;;;Outro Órgão (UFBA);1-4 Semana;Escola Politécnica;Instituto de Física;1-4 Semana;Utilização da biblioteca;Não;;;;;;;;;;DC;DC;DC;DC;DP;DC;DP;DP;DP;DP;MT IMP;MT IMP;PC IMP;PC IMP;PC IMP;MT IMP;PC IMP;MT IMP;MT IMP
18;F;3-6 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Saúde;3º;N;;;5-9 Semana;Pavilhão  de  Aulas  da  Federação  III;Creche UFBA;5-9 Semana;Aula no local de destino;Sim;Creche UFBA;Pavilhão  de  Aulas  da  Federação  III;5-9 Semana;Aula no local de destino;Não;;;;;CP;DC;CP;DP;DP;DP;CC;CP;DP;CP;MT IMP;MT IMP;IMP;IMP;IMP;MT IMP;IMP;MT IMP;MT IMP
26;F;1-3 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Letras Vernáculas (Lic.);8º;N;;;5-9 Semana;Instituto de Letras;Escola de Belas Artes;5-9 Semana;Tomar outro ônibus em local que o BUZUFBA passa;Não;;;;;;;;;;CP;CP;CC;DP;DC;CC;CP;DP;DP;CP;IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;IMP;MT IMP;MT IMP
52;M;6-9 SM;PcD Auditiva;STA;;;;;Pró-Reitoria de Administração (PROAD);Nenhuma;;;;;;;;;;;;;;;;;;;;;;;;;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP
23;M;0-1 SM;Obeso;Grad;Letras Vernáculas e Língua Estrangeira Moderna (Lic.);3º;S;;;10-M Semana;Reitoria;Instituto de Letras;10-M Semana;Aula no local de destino;Não;;;;;;;;;;DC;DC;CP;DP;DP;CC;DP;CP;DC;CP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;PC IMP;MT IMP;MT IMP
